date,ticker,close,volume,ret
2022-01-03,GLD,168.3300018310547,9014400,
2022-01-04,GLD,169.57000732421875,6965600,0.007366515057776857
2022-01-05,GLD,169.05999755859375,8715600,-0.00300766493835114
2022-01-06,GLD,166.99000549316406,10902700,-0.012244126909514819
2022-01-07,GLD,167.75,8191900,0.004551137683908024
2022-01-10,GLD,168.25999450683594,7026500,0.0030402057039400354
2022-01-11,GLD,170.2899932861328,8369000,0.0120646549718888
2022-01-12,GLD,170.74000549316406,6280700,0.002642622730480104
2022-01-13,GLD,170.16000366210938,7034200,-0.0033969884760131075
2022-01-14,GLD,169.6699981689453,7865900,-0.0028796749096049457
2022-01-18,GLD,169.38999938964844,9322800,-0.001650255097062403
2022-01-19,GLD,172.0800018310547,15784500,0.015880526897095182
2022-01-20,GLD,171.64999389648438,9570500,-0.0024988838330701757
2022-01-21,GLD,171.08999633789062,10982500,-0.0032624385581478954
2022-01-24,GLD,172.02999877929688,15727700,0.005494198734739664
2022-01-25,GLD,172.5800018310547,17382100,0.0031971345443269072
2022-01-26,GLD,169.7899932861328,17799400,-0.016166464916677392
2022-01-27,GLD,167.60000610351562,15867300,-0.012898211138547944
2022-01-28,GLD,167.10000610351562,9782500,-0.0029832934474428585
2022-01-31,GLD,168.08999633789062,8539300,0.005924537392067553
2022-02-01,GLD,168.22999572753906,9763900,0.0008328835308379912
2022-02-02,GLD,168.83999633789062,9085300,0.0036259919505645666
2022-02-03,GLD,168.60000610351562,10650800,-0.0014214062993387344
2022-02-04,GLD,168.86000061035156,9619600,0.0015420788696549614
2022-02-07,GLD,170.11000061035156,7796900,0.007402581993851909
2022-02-08,GLD,170.6300048828125,5802000,0.003056870675416823
2022-02-09,GLD,171.2100067138672,8002800,0.0033991784238243117
2022-02-10,GLD,170.55999755859375,10693500,-0.0037965605384254753
2022-02-11,GLD,173.80999755859375,25741500,0.019054878321533186
2022-02-14,GLD,174.74000549316406,13650700,0.005350715998122091
2022-02-15,GLD,173.0800018310547,12603600,-0.009499848975192515
2022-02-16,GLD,174.86000061035156,12772100,0.010284254451501385
2022-02-17,GLD,177.25,18612500,0.013668073780773726
2022-02-18,GLD,177.1199951171875,12760700,-0.0007334549100845855
2022-02-22,GLD,177.49000549316406,14960500,0.0020890378623359407
2022-02-23,GLD,178.2899932861328,11772200,0.0045072272703239324
2022-02-24,GLD,177.13999938964844,32726000,-0.006450131470019049
2022-02-25,GLD,176.5500030517578,11530900,-0.003330678220184624
2022-02-28,GLD,178.3800048828125,16055800,0.010365345791119474
2022-03-01,GLD,181.6199951171875,21942100,0.018163415997793697
2022-03-02,GLD,179.72999572753906,19727200,-0.010406339832951472
