date,policy_rate,spy_close_avg
2022-02-28,3.5,418.6106744063528
2022-03-31,4.0,415.0345153808594
2022-05-31,5.0,382.7142043340774
2022-06-30,5.5,369.9304359072731
2022-10-31,7.0,355.53466942196803
2022-11-30,7.25,374.2469700404576
2023-02-28,7.75,391.30480475174755
2023-03-31,7.75,381.38114199431044
2023-05-31,7.75,399.3677784312855
2023-06-30,7.75,419.2225080217634
2023-07-31,7.75,435.3030044555664
2023-10-31,7.25,413.71106511896306
2023-11-30,7.0,432.7571498325893
2024-02-29,6.25,487.9098419189453
2024-05-31,5.75,511.4012284712358
2024-07-31,5.75,542.1179670854049
2024-10-31,5.25,568.7714419157609
2025-02-28,4.75,595.3128308747944
2025-03-31,4.75,560.9778471447173
2025-06-30,4.5,597.0490936279297
2025-07-31,4.5,624.0050992098721
2025-10-31,4.25,669.3850734544837
