contractSymbol,option_type,expiration_date,strike,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,trade_date,mid_price,T,S_T,DF_T
AMZN251226C00125000,call,2025-12-26,125.0,102.05,105.45,1.0,17,2.4628944677734372,True,2025-12-22,103.75,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00130000,call,2025-12-26,130.0,96.95,100.45,1.0,8,2.2617230957031245,True,2025-12-22,98.7,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00135000,call,2025-12-26,135.0,91.95,95.45,2.0,31,2.1250046874999997,True,2025-12-22,93.7,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00140000,call,2025-12-26,140.0,86.95,90.45,2.0,3,1.994140654296875,True,2025-12-22,88.7,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00145000,call,2025-12-26,145.0,82.1,85.5,,2,1.958984580078125,True,2025-12-22,83.8,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00150000,call,2025-12-26,150.0,77.5,79.9,38.0,13,1.7421887890624999,True,2025-12-22,78.7,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00155000,call,2025-12-26,155.0,71.95,75.5,1.0,46,1.64453302734375,True,2025-12-22,73.725,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00160000,call,2025-12-26,160.0,66.95,70.5,1.0,5,1.5273461132812498,True,2025-12-22,68.725,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00165000,call,2025-12-26,165.0,62.1,65.5,20.0,49,1.46484642578125,True,2025-12-22,63.8,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00170000,call,2025-12-26,170.0,57.65,60.5,6.0,24,1.4941431542968748,True,2025-12-22,59.075,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00175000,call,2025-12-26,175.0,51.9,55.6,1.0,20,1.205082099609375,True,2025-12-22,53.75,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00180000,call,2025-12-26,180.0,47.6,50.5,7.0,80,1.2402381738281247,True,2025-12-22,49.05,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00185000,call,2025-12-26,185.0,42.6,45.5,4.0,82,1.123051259765625,True,2025-12-22,44.05,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00190000,call,2025-12-26,190.0,37.65,40.5,6.0,168,1.0146533642578124,True,2025-12-22,39.075,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00195000,call,2025-12-26,195.0,32.6,35.4,2.0,114,0.87500125,True,2025-12-22,34.0,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00200000,call,2025-12-26,200.0,27.7,29.9,449.0,401,0.6938507177734375,True,2025-12-22,28.799999999999997,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00202500,call,2025-12-26,202.5,25.15,27.4,52.0,4,0.631839619140625,True,2025-12-22,26.275,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00205000,call,2025-12-26,205.0,22.75,23.9,15.0,168,0.6201209863281252,True,2025-12-22,23.325,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00207500,call,2025-12-26,207.5,20.45,22.35,6.0,38,0.5654340332031251,True,2025-12-22,21.4,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00210000,call,2025-12-26,210.0,18.35,19.85,115.0,450,0.5585981640625001,True,2025-12-22,19.1,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00212500,call,2025-12-26,212.5,15.2,17.75,22.0,73,0.6926300268554688,True,2025-12-22,16.475,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00215000,call,2025-12-26,215.0,12.85,13.9,308.0,834,0.3979552392578125,True,2025-12-22,13.375,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00217500,call,2025-12-26,217.5,10.95,11.45,65.0,1241,0.3508365698242187,True,2025-12-22,11.2,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00220000,call,2025-12-26,220.0,8.5,8.95,296.0,3351,0.2910227148437499,True,2025-12-22,8.725,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00222500,call,2025-12-26,222.5,6.25,6.55,578.0,1674,0.2436599072265625,True,2025-12-22,6.4,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00225000,call,2025-12-26,225.0,4.15,4.35,3347.0,7495,0.2104571142578125,True,2025-12-22,4.25,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00227500,call,2025-12-26,227.5,2.54,2.61,12537.0,12112,0.19849434326171872,True,2025-12-22,2.575,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00230000,call,2025-12-26,230.0,1.32,1.36,42851.0,19680,0.1915364050292969,False,2025-12-22,1.34,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00232500,call,2025-12-26,232.5,0.59,0.62,20504.0,11539,0.18970536865234378,False,2025-12-22,0.605,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00235000,call,2025-12-26,235.0,0.25,0.26,14548.0,22877,0.19263502685546874,False,2025-12-22,0.255,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00237500,call,2025-12-26,237.5,0.1,0.12,7501.0,19590,0.20410952148437497,False,2025-12-22,0.11,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00240000,call,2025-12-26,240.0,0.06,0.07,12273.0,13324,0.22364057617187497,False,2025-12-22,0.065,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00242500,call,2025-12-26,242.5,0.03,0.04,903.0,2289,0.24024197265624997,False,2025-12-22,0.035,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00245000,call,2025-12-26,245.0,0.02,0.03,998.0,8937,0.26563234375,False,2025-12-22,0.025,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00247500,call,2025-12-26,247.5,0.01,0.02,204.0,460,0.28125718749999995,False,2025-12-22,0.015,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00250000,call,2025-12-26,250.0,0.01,0.02,2103.0,9508,0.31250687499999996,False,2025-12-22,0.015,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00252500,call,2025-12-26,252.5,0.0,0.01,602.0,519,0.32031929687499994,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00255000,call,2025-12-26,255.0,0.0,0.01,1059.0,3459,0.3437565625,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00260000,call,2025-12-26,260.0,0.0,0.01,1039.0,3467,0.398443515625,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00265000,call,2025-12-26,265.0,0.0,0.01,20.0,2385,0.45313046875,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00270000,call,2025-12-26,270.0,0.0,0.01,1.0,2259,0.500005,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00275000,call,2025-12-26,275.0,0.0,0.01,18.0,2755,0.51562984375,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00280000,call,2025-12-26,280.0,0.0,0.01,7.0,2190,0.5625043750000001,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00285000,call,2025-12-26,285.0,0.0,0.01,4.0,2918,0.6093789062500001,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00290000,call,2025-12-26,290.0,0.0,0.02,247.0,3392,0.6953155468750001,False,2025-12-22,0.01,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00295000,call,2025-12-26,295.0,0.0,0.03,1.0,848,0.7656273437500001,False,2025-12-22,0.015,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00300000,call,2025-12-26,300.0,0.0,0.01,1.0,2748,0.73437765625,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00305000,call,2025-12-26,305.0,0.0,0.01,1.0,572,0.7812521875,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00310000,call,2025-12-26,310.0,0.0,0.01,28.0,6,0.8125018749999999,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
AMZN251226C00315000,call,2025-12-26,315.0,0.0,0.01,1.0,182,0.8437515624999999,False,2025-12-22,0.005,0.010958904109589041,229.29978270894418,1.00311234082846
